"iteration","training-loss","llama-2-13b-base-extended-okazaki-lab-cc-a100-8node-64gpu-4096s-DP=8-TP=2-PP=4-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1-2023-11-06-02-41-24 - lm-loss-training/lm loss__MIN","llama-2-13b-base-extended-okazaki-lab-cc-a100-8node-64gpu-4096s-DP=8-TP=2-PP=4-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1-2023-11-06-02-41-24 - lm-loss-training/lm loss__MAX"
"397","2.137051582336426","2.137051582336426","2.137051582336426"
"398","2.1247544288635254","2.1247544288635254","2.1247544288635254"
"399","2.1474573612213135","2.1474573612213135","2.1474573612213135"
"400","2.1279282569885254","2.1279282569885254","2.1279282569885254"
"401","2.140742778778076","2.140742778778076","2.140742778778076"
"402","2.13775634765625","2.13775634765625","2.13775634765625"
"403","2.1430320739746094","2.1430320739746094","2.1430320739746094"
"404","2.1376144886016846","2.1376144886016846","2.1376144886016846"
"405","2.131617307662964","2.131617307662964","2.131617307662964"
"406","2.125080108642578","2.125080108642578","2.125080108642578"
"407","2.11983323097229","2.11983323097229","2.11983323097229"
"408","2.121922731399536","2.121922731399536","2.121922731399536"
"409","2.1236014366149902","2.1236014366149902","2.1236014366149902"
"410","2.1242167949676514","2.1242167949676514","2.1242167949676514"
"411","2.1370127201080322","2.1370127201080322","2.1370127201080322"
"412","2.1184704303741455","2.1184704303741455","2.1184704303741455"
"413","2.120032548904419","2.120032548904419","2.120032548904419"
"414","2.122390031814575","2.122390031814575","2.122390031814575"
"415","2.1343698501586914","2.1343698501586914","2.1343698501586914"
"416","2.108260154724121","2.108260154724121","2.108260154724121"
"417","2.127499580383301","2.127499580383301","2.127499580383301"
"418","2.135514736175537","2.135514736175537","2.135514736175537"
"419","2.1089563369750977","2.1089563369750977","2.1089563369750977"
"420","2.1106278896331787","2.1106278896331787","2.1106278896331787"
"421","2.1142642498016357","2.1142642498016357","2.1142642498016357"
"422","2.128352403640747","2.128352403640747","2.128352403640747"
"423","2.0990140438079834","2.0990140438079834","2.0990140438079834"
"424","2.105461597442627","2.105461597442627","2.105461597442627"
"425","2.1054646968841553","2.1054646968841553","2.1054646968841553"
"426","2.1042697429656982","2.1042697429656982","2.1042697429656982"
"427","2.1107842922210693","2.1107842922210693","2.1107842922210693"
"428","2.101499080657959","2.101499080657959","2.101499080657959"
"429","2.1149277687072754","2.1149277687072754","2.1149277687072754"
"430","2.105072259902954","2.105072259902954","2.105072259902954"
"431","2.100982666015625","2.100982666015625","2.100982666015625"
"432","2.1155760288238525","2.1155760288238525","2.1155760288238525"
"433","2.117365598678589","2.117365598678589","2.117365598678589"
"434","2.0985591411590576","2.0985591411590576","2.0985591411590576"
"435","2.126002550125122","2.126002550125122","2.126002550125122"
"436","2.108403444290161","2.108403444290161","2.108403444290161"
"437","2.090027332305908","2.090027332305908","2.090027332305908"
"438","2.117380380630493","2.117380380630493","2.117380380630493"
"439","2.1126222610473633","2.1126222610473633","2.1126222610473633"
"440","2.092059373855591","2.092059373855591","2.092059373855591"
"441","2.088897943496704","2.088897943496704","2.088897943496704"
"442","2.094273090362549","2.094273090362549","2.094273090362549"
"443","2.0911033153533936","2.0911033153533936","2.0911033153533936"
"444","2.115823268890381","2.115823268890381","2.115823268890381"
"445","2.0949058532714844","2.0949058532714844","2.0949058532714844"
"446","2.0869362354278564","2.0869362354278564","2.0869362354278564"
"447","2.0825629234313965","2.0825629234313965","2.0825629234313965"
