"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"94","2.9020986557006836","2.9020986557006836","2.9020986557006836"
"95","2.910168170928955","2.910168170928955","2.910168170928955"
"96","2.8917806148529053","2.8917806148529053","2.8917806148529053"
"97","2.8816864490509033","2.8816864490509033","2.8816864490509033"
"98","2.871448516845703","2.871448516845703","2.871448516845703"
"99","2.85943865776062","2.85943865776062","2.85943865776062"
"100","2.8473756313323975","2.8473756313323975","2.8473756313323975"
"101","2.837798833847046","2.837798833847046","2.837798833847046"
"102","2.8325517177581787","2.8325517177581787","2.8325517177581787"
"103","2.8346312046051025","2.8346312046051025","2.8346312046051025"
"104","2.824472188949585","2.824472188949585","2.824472188949585"
"105","2.7940592765808105","2.7940592765808105","2.7940592765808105"
"106","2.814488410949707","2.814488410949707","2.814488410949707"
"107","2.7914974689483643","2.7914974689483643","2.7914974689483643"
"108","2.776960611343384","2.776960611343384","2.776960611343384"
"109","2.7770638465881348","2.7770638465881348","2.7770638465881348"
"110","2.7723512649536133","2.7723512649536133","2.7723512649536133"
"111","2.7545604705810547","2.7545604705810547","2.7545604705810547"
"112","2.761626958847046","2.761626958847046","2.761626958847046"
"113","2.7377188205718994","2.7377188205718994","2.7377188205718994"
"114","2.753862142562866","2.753862142562866","2.753862142562866"
"115","2.742089033126831","2.742089033126831","2.742089033126831"
"116","2.735795497894287","2.735795497894287","2.735795497894287"
"117","2.708972454071045","2.708972454071045","2.708972454071045"
"118","2.7141270637512207","2.7141270637512207","2.7141270637512207"
"119","2.7175731658935547","2.7175731658935547","2.7175731658935547"
"120","2.7039988040924072","2.7039988040924072","2.7039988040924072"
"121","2.691240072250366","2.691240072250366","2.691240072250366"
"122","2.6903045177459717","2.6903045177459717","2.6903045177459717"
"123","2.689667224884033","2.689667224884033","2.689667224884033"
"124","2.6799204349517822","2.6799204349517822","2.6799204349517822"
"125","2.668480157852173","2.668480157852173","2.668480157852173"
"126","2.6660146713256836","2.6660146713256836","2.6660146713256836"
"127","2.6588938236236572","2.6588938236236572","2.6588938236236572"
"128","2.6566028594970703","2.6566028594970703","2.6566028594970703"
"129","2.6387135982513428","2.6387135982513428","2.6387135982513428"
"130","2.625779867172241","2.625779867172241","2.625779867172241"
"131","2.625124216079712","2.625124216079712","2.625124216079712"
"132","2.6309120655059814","2.6309120655059814","2.6309120655059814"
"133","2.6106996536254883","2.6106996536254883","2.6106996536254883"
"134","2.6044278144836426","2.6044278144836426","2.6044278144836426"
"135","2.615819215774536","2.615819215774536","2.615819215774536"
"136","2.594205141067505","2.594205141067505","2.594205141067505"
"137","2.5929319858551025","2.5929319858551025","2.5929319858551025"
"138","2.601714849472046","2.601714849472046","2.601714849472046"
"139","2.5830867290496826","2.5830867290496826","2.5830867290496826"
"140","2.590083122253418","2.590083122253418","2.590083122253418"
"141","2.5851662158966064","2.5851662158966064","2.5851662158966064"
"142","2.5641984939575195","2.5641984939575195","2.5641984939575195"
"143","2.553802967071533","2.553802967071533","2.553802967071533"
"144","2.5560920238494873","2.5560920238494873","2.5560920238494873"
"145","2.5515193939208984","2.5515193939208984","2.5515193939208984"
"146","2.542281150817871","2.542281150817871","2.542281150817871"
"147","2.552973985671997","2.552973985671997","2.552973985671997"
"148","2.5496022701263428","2.5496022701263428","2.5496022701263428"
"149","2.542973041534424","2.542973041534424","2.542973041534424"
"150","2.5220179557800293","2.5220179557800293","2.5220179557800293"
"151","2.5330398082733154","2.5330398082733154","2.5330398082733154"
"152","2.5401926040649414","2.5401926040649414","2.5401926040649414"
"153","2.5156009197235107","2.5156009197235107","2.5156009197235107"
"154","2.50414776802063","2.50414776802063","2.50414776802063"
